Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,1,41.55556,0.4017264,1.144961,-0.04140568,184.6212
,,1,42,0.4016444,1.14544,-0.04012799,184.6715
,,1,42.44445,0.3940961,1.142879,-0.03639913,187.375
,,1,42.88889,0.3743197,1.136654,-0.03192258,194.7266
,,1,43.33334,0.3558177,1.126081,-0.028615,204.8837
,,1,43.77778,0.3486494,1.121202,-0.02857995,209.7795
,,1,44.22223,0.3465988,1.119446,-0.02847266,210.4724
,,1,44.66667,0.3473679,1.119561,-0.02881968,210.1667
,,1,45.11111,0.3481373,1.119492,-0.02894878,209.3353
,,1,45.55556,0.3475341,1.118397,-0.02828503,209.9779
,,1,46,0.3466402,1.117663,-0.02797794,209.7746
,,1,46.44445,0.3463532,1.117567,-0.02837932,209.5847
,,1,46.88889,0.3464333,1.117392,-0.02858222,209.4973
,,1,47.33334,0.3466787,1.11742,-0.02839935,209.4268
,,1,47.77778,0.3463914,1.117136,-0.02841759,209.3383
,,1,48.22223,0.3466346,1.116979,-0.02809238,209.3065
,,1,48.66667,0.346726,1.116951,-0.02804279,209.297
,,1,49.11111,0.3466182,1.116647,-0.02798438,209.3432
,,1,49.55556,0.3467631,1.11656,-0.02790809,209.4743
,,1,50,0.3463286,1.116619,-0.02813029,209.5193
,,1,50.44445,0.3465002,1.116538,-0.02800512,209.5692
,,1,50.88889,0.3462476,1.116363,-0.02806377,209.6957
,,1,51.33334,0.3459726,1.116152,-0.02828836,209.6554
,,1,51.77778,0.3461803,1.116093,-0.02820539,209.6592
,,1,52.22223,0.3518376,1.119974,-0.031587,207.9478
,,1,52.66667,0.3662539,1.126234,-0.0382576,205.4197
,,1,53.11111,0.4093603,1.148561,-0.04071605,181.3777
,,1,53.55556,0.4684617,1.16422,0.02324748,126.2557
,,1,54,0.4566416,1.156949,0.03752041,128.3465
,,1,54.44445,0.3573286,1.103807,-0.02777195,206.7327
,,1,54.88889,0.2833212,1.078764,0.00463438,251.1918
,,1,55.33334,0.2552512,1.092088,0.05461478,270.6137
,,1,55.77778,0.266382,1.108945,0.02950716,265.504
,,1,56.22223,0.3010663,1.120959,0.06345046,283.9101
,,1,56.66667,0.2959834,1.11623,0.07838631,282.3684
,,1,57.11111,0.3222073,1.119774,-0.0229789,216.4938
,,1,57.55556,0.372956,1.139221,-0.08927679,188.7679
,,1,58,0.3733644,1.13522,-0.05884433,202.9374
,,1,58.44445,0.3704349,1.132835,-0.04856467,201.2516
,,1,58.88889,0.3620403,1.128752,-0.04551601,201.4904
,,1,59.33334,0.4016832,1.167617,-0.08657861,187.0219
,,1,59.77778,0.6336979,1.12677,-0.06971359,136.7435
,,1,60.22223,0.8048152,0.9101617,-0.2413907,99.72033
,,1,60.66667,0.8120603,0.8346065,-0.2977902,91.53104
,,1,61.11111,0.8074734,0.8113213,-0.3064886,92.57491
,,1,61.55556,0.8078551,0.8021995,-0.3140666,96.72996
,,1,62,0.8048107,0.7954789,-0.3131399,95.76123
,,1,62.44445,0.8009767,0.7888047,-0.3150556,95.66705
,,1,62.88889,0.800744,0.7885995,-0.3152277,95.56978
,,1,63.33334,0.8013569,0.7898906,-0.3148212,95.48466
,,1,63.77778,0.8015854,0.7903179,-0.3147861,95.45008
,,1,64.22222,0.8014583,0.7902956,-0.3147423,95.42052
,,1,64.66667,0.8013589,0.7901351,-0.3148462,95.40966
,,1,65.11111,0.8012845,0.7898569,-0.314852,95.37332
,,1,65.55556,0.8012564,0.7899772,-0.3149028,95.35399
,,1,66,0.801274,0.7898202,-0.3148758,95.33815
,,1,66.44444,0.8012838,0.7897946,-0.3148695,95.32039
,,1,66.88889,0.8012654,0.7894438,-0.314899,95.29432
,,1,67.33334,0.801089,0.7893071,-0.3149598,95.27654
,,1,67.77778,0.8010377,0.7891684,-0.3150281,95.28515
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,3,15.21111,0.3446665,1.121454,-0.1406581,194.8303
,,3,15.65556,0.3428195,1.154996,-0.1536647,192.6334
,,3,16.1,0.3925022,1.22166,-0.1890407,186.5693
,,3,16.54445,0.5275813,1.146341,-0.2091455,181.8893
,,3,16.98889,0.7613418,0.9567614,-0.3308482,103.6892
,,3,17.43333,0.8154181,0.8129436,-0.430914,88.04115
,,3,17.87778,0.8153067,0.8072385,-0.4437268,89.25108
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,1,17.34444,0.4477584,1.135535,-0.1108003,196.7326
,,1,17.78889,0.4432691,1.127595,-0.1189574,203.0693
,,1,18.23333,0.4455711,1.128924,-0.1159416,202.4113
,,1,18.67778,0.4424965,1.131627,-0.1230251,200.9709
,,1,19.12222,0.4394177,1.14161,-0.1510373,193.2709
,,1,19.56667,0.4499286,1.125802,-0.1271545,202.2592
,,1,20.01111,0.4279422,1.12442,-0.1220683,198.2009
,,1,20.45556,0.4342992,1.137677,-0.131245,192.1932
,,1,20.9,0.4677097,1.148154,-0.138572,183.6421
,,1,21.34444,0.505097,1.150221,-0.1215395,152.4111
,,1,21.78889,0.4992553,1.147481,-0.1146078,153.4984
,,1,22.23333,0.456845,1.143165,-0.1231366,185.9455
,,1,22.67778,0.4313322,1.131574,-0.1327012,221.8426
,,1,23.12222,0.4351009,1.125166,-0.1389656,233.6522
,,1,23.56667,0.4265698,1.120717,-0.1312815,235.8969
,,1,24.01111,0.4141273,1.125843,-0.125213,210.5032
,,1,24.45556,0.43285,1.143681,-0.09480083,175.8071
,,1,24.9,0.4409596,1.155566,-0.09284818,169.746
,,1,25.34444,0.6874553,1.179436,-0.2164127,123.6381
,,1,25.78889,0.9141806,0.9242065,-0.3651117,87.50675
,,1,26.23333,0.902784,0.8309172,-0.4099084,85.13925
,,1,26.67778,0.9008585,0.816363,-0.4229192,85.46033
,,1,27.12222,0.8933557,0.8021863,-0.4161078,91.81091
,,1,27.56667,0.9090124,0.8292758,-0.4035207,94.99483
,,1,28.01111,0.8923366,0.7922342,-0.4104248,94.81311
,,1,28.45556,0.8898171,0.7865615,-0.411554,94.63351
,,1,28.9,0.8912371,0.7895766,-0.4110781,94.48698
,,1,29.34444,0.8921326,0.7913306,-0.4107207,94.4006
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,-1,9.5,0.3950241,1.137205,-0.3622355,192.3206
,,-1,9.944445,0.3611299,1.126605,-0.3534847,221.129
,,-1,10.38889,0.3405821,1.146448,-0.3194569,256.7479
,,-1,10.83333,0.341899,1.171667,-0.303458,254.5189
,,-1,11.27778,0.3922093,1.19537,-0.3014136,218.3522
